Localidad;Departamento;Provincia;Latitud;Longitud;Estado
Barrio Lomas Altas;Chascomús;Buenos Aires;-35,57398892;-58,06804365;Conectado
Barrio Martinez Saravia;Gral.J. de San Martín;Salta;-22,5759111;-63,8063166;Conectado
Barrio Mitre;;Santa Fe;-33,25559464;-60,38977587;Conectado
Barrio Sadop;San Martín;San Juan;-31,53671827;-68,39556768;Conectado
Barrio Santa Paula;General Pueyrredón;Buenos Aires;-37,93171578;-57,68316203;Conectado
Barrio Virgen del Rosario;Lavalle;Mendoza;-32,70275972;-68,31249219;Conectado
Barrios;Yavi;Jujuy;-22,24627796;-65,52787171;Conectado
Bartolome de las Casas;Patiño;Formosa;-25,40593056;-59,57046111;Conectado
Basavilbaso;Uruguay;Entre Rios;-32,37257294;-58,87856094;Conectado
Belen;Belén;Catamarca;-27,633758;-67,018122;Conectado
Bell Ville;Unión;Cordoba;-32,62856;-62,689115;Conectado
Bella Italia;Castellanos;Santa Fe;-31,28397951;-61,40934252;Conectado
Bella Vista;Bella Vista;Corrientes;-28,50767725;-59,04433284;Conectado
Bellocq;Carlos Casares;Buenos Aires;-35,91897056;-61,53126302;Conectado
Beltran;Robles;Santiago del Estero;-27,85294144;-63,99761098;Conectado
Benavidez;Tigre;Buenos Aires;-34,41043474;-58,68879197;Conectado
Benito Juarez;Benito Juarez;Buenos Aires;-37,67664102;-59,80576771;Conectado
Berdier;Salto;Buenos Aires;-34,39877266;-60,26057254;Conectado
Bermudez;Lincoln;Buenos Aires;-34,69660471;-61,32501288;Conectado
Bernardo de Irigoyen;Gral. Manuel Belgrano;Misiones;-26,2546761;-53,64721334;Conectado
Berrotaran;Río Cuarto;Cordoba;-32,45286692;-64,38544047;Conectado
Berutti;Trenque Lauquen;Buenos Aires;-35,85803114;-62,5126329;Conectado
Betbeder;Nogoyá;Entre Rios;-32,37410087;-59,9380818;Conectado
Bocayuva;Pellegrini;Buenos Aires;-36,20657301;-63,07615547;Conectado
Bonpland;Paso de Los Libres;Corrientes;-29,82037352;-57,42964794;Conectado
Bouwer;Santa María;Cordoba;-31,557667;-64,194466;Conectado
Bovril;La Paz;Entre Rios;-31,34289144;-59,44673097;Conectado
Bowen;General Alvear;Mendoza;-35,00091243;-67,51618183;Conectado
Bragado;Bragado;Buenos Aires;-35,1189423;-60,48791476;Conectado
Bulnes;Río Cuarto;Cordoba;-33,50328182;-64,67557352;Conectado
Bustinza;Iriondo;Santa Fe;-32,73999618;-61,29158697;Conectado
Buta Ranquil;Pehuenches;Neuquen;-37,05078761;-69,87385109;Conectado
Caa - Yari;Leandro N. Alem;Misiones;-27,48078444;-55,29923481;Conectado
Cachi;Cachi;Salta;-25,12016401;-66,16794944;Conectado
Cafayate;Cafayate;Salta;-26,07653844;-65,98628973;Conectado
Caimancito;Ledesma;Jujuy;-23,73952693;-64,59410061;Conectado
Caleta Olivia;Deseado;Santa Cruz;-46,44594923;-67,5251565;Conectado
Calilegua;Ledesma;Jujuy;-23,76947214;-64,76655622;Conectado
Campamento Vespucio;Gral.J. de San Martín;Salta;-22,58004717;-63,85232318;Conectado
Campamento Vialidad Nacional;Caleu Caleu;La Pampa;-38,388438;-64,073266;Conectado
Campana;Campana;Buenos Aires;-34,16396181;-58,9588741;Conectado
Campanas;Famatina;La Rioja;-28,55602083;-67,62644065;Conectado
Campichuelo;Gral.J. de San Martín;Salta;-23,1062412;-63,99531392;Conectado
Campo de Herrera;Famaillá;Tucuman;-27,02560267;-65,34647185;Conectado
Campo Gallo;Alberdi;Santiago del Estero;-26,58141906;-62,82620032;Conectado
Campo Grande;Cainguás;Misiones;-27,20626813;-54,9790955;Conectado
Campo Ramon;Oberá;Misiones;-27,45227009;-55,02373524;Conectado
Campo Viera;Oberá;Misiones;-27,33105588;-55,05285482;Conectado
Canal 5 Puerto Iguazu;Puerto Iguazu;Misiones;-25,609138;-54,573938;Conectado
Cangrejillos;Yavi;Jujuy;-22,42296131;-65,58012475;Conectado
Cañada de Gomez;Iriondo;Santa Fe;-32,81668673;-61,38996615;Conectado
Cañada Escobar;Banda;Santiago del Estero;-27,708472;-64,027861;Conectado
Cañada Ombu;Vera;Santa Fe;-28,31083042;-59,98371665;Conectado
Cañada Seca;General Villegas;Buenos Aires;-34,41550546;-62,96185538;Conectado
